question,answer,topic,difficulty
"What is a variable in Python?","A named reference to a value stored in memory.","Python basics","easy"
"What does the len() function do in Python?","It returns the length of an object, like a list or string.","Python basics","easy"
"What is a list in Python?","An ordered, mutable collection of items.","Python basics","easy"
"What is logistic regression used for?","For binary or multi-class classification tasks.","Machine Learning basics","medium"
"What is overfitting in machine learning?","When a model learns noise and performs poorly on new data.","Machine Learning basics","medium"
"What is supervised learning?","Learning from labeled data.","Machine Learning basics","easy"
"What is an activation function in neural networks?","A function that introduces non-linearity into the network.","Deep Learning basics","medium"
"What is a neural network?","A layered model inspired by the brain that learns patterns from data.","Deep Learning basics","medium"
"What is a dictionary in Python?","A collection of key-value pairs.","Python basics","medium"
"What does the 'for' loop do in Python?","Iterates over items of a sequence.","Python basics","easy"
