accuracy,feedback
100,"Excellent work! You've mastered this topic completely. Keep up the outstanding performance!"
95,"Outstanding! You're performing at an exceptional level. Just a few minor areas to polish."
90,"Great job! You're doing very well. Focus on the remaining concepts to reach perfection."
85,"Good work! You're on the right track. Review the areas you missed to improve further."
80,"Solid performance! You have a good understanding. Practice a bit more to strengthen your knowledge."
75,"Decent effort! You're making progress. Focus on the key concepts that need more attention."
70,"Fair performance. You understand some basics but need more practice. Review the material thoroughly."
65,"Below average. You need significant improvement. Focus on understanding the fundamentals first."
60,"Poor performance. You need to study much harder. Consider reviewing the basics and seeking help."
55,"Very poor. You're struggling significantly. Start with the fundamental concepts and practice regularly."
50,"Failing grade. You need complete review of all material. Consider additional study resources."
45,"Critical improvement needed. You're far below expectations. Seek immediate help and tutoring."
40,"Severely deficient. You lack basic understanding. Complete restart of learning is recommended."
35,"Extremely poor. You need intensive remediation. Consider changing study methods."
30,"Abysmal performance. You need fundamental help. This level requires complete relearning."
25,"Disastrous results. You need immediate intervention. Consider professional academic support."
20,"Utter failure. You need comprehensive help. This indicates serious learning difficulties."
15,"Catastrophic performance. You need extensive support. Consider academic counseling."
10,"Complete lack of understanding. You need total restart. This level is concerning."
5,"Zero comprehension. You need immediate and intensive help. Academic intervention required."
0,"No correct answers. You need complete relearning from the beginning. Seek immediate assistance."
